ID,AveragePrice
0,1.364
1,1.686
2,1.398
3,1.769
4,1.307
5,1.714
6,1.399
7,1.448
8,1.523
9,1.767
10,1.456
11,1.564
12,1.389
13,1.682
14,1.429
15,1.51
16,1.422
17,1.769
18,1.465
19,1.805
20,1.459
21,1.731
22,1.356
23,1.818
24,1.001
25,1.619
26,0.995
27,1.399
28,0.907
29,1.599
30,1.118
31,1.556
32,1.001
33,1.543
34,0.902
35,1.713
36,1.081
37,1.389
38,1.08
39,1.366
40,1.076
41,1.102
42,1.041
43,1.51
44,0.901
45,1.039
46,1.086
47,1.463
48,1.266
49,1.256
50,1.255
51,1.624
52,1.206
53,1.726
54,1.168
55,1.583
56,1.216
57,1.588
58,1.085
59,1.645
60,1.295
61,1.691
62,0.953
63,1.307
64,1.174
65,1.544
66,1.015
67,1.523
68,0.897
69,1.519
70,1.204
71,1.555
72,1.162
73,1.746
74,0.797
75,1.726
76,1.037
77,1.543
78,1.066
79,1.672
80,0.986
81,1.818
82,1.184
83,1.183
84,0.992
85,1.706
86,0.862
87,1.919
88,1.02
89,1.331
90,1.064
91,1.586
92,0.885
93,1.743
94,1.049
95,1.523
96,1.168
97,1.791
98,1.589
99,1.821
100,1.23
101,1.792
102,1.346
103,1.881
104,1.28
105,1.854
106,1.179
107,1.891
108,1.409
109,1.844
110,1.371
111,1.839
112,1.232
113,1.968
114,1.174
115,1.828
116,1.22
117,1.859
118,1.197
119,1.861
120,1.352
121,1.47
122,1.423
123,1.386
124,1.344
125,1.264
126,1.374
127,1.239
128,1.408
129,0.944
130,1.391
131,1.483
132,1.44
133,1.299
134,1.221
135,1.341
136,1.261
137,1.514
138,1.482
139,1.227
140,1.294
141,1.143
142,1.46
143,0.909
144,1.231
145,1.632
146,1.256
147,1.761
148,1.007
149,1.771
150,1.08
151,1.695
152,0.768
153,1.857
154,0.96
155,1.665
156,0.997
157,1.592
158,1.042
159,1.558
160,1.118
161,1.562
162,1.065
163,1.599
164,0.837
165,1.649
166,0.883
167,1.644
168,1.52
169,1.93
170,1.432
171,2.05
172,1.156
173,2.345
174,1.404
175,2.171
176,1.118
177,1.962
178,1.313
179,2.175
180,1.442
181,1.985
182,1.52
183,1.974
184,1.326
185,2.145
186,1.394
187,1.889
188,1.21
189,1.95
190,1.462
191,2.204
192,1.294
193,1.674
194,1.338
195,1.746
196,1.176
197,1.897
198,1.31
199,1.386
200,1.118
201,1.688
202,1.301
203,1.495
204,1.477
205,1.392
206,1.311
207,1.336
208,1.227
209,1.52
210,1.297
211,1.43
212,1.196
213,1.84
214,1.251
215,1.601
216,1.203
217,1.38
218,1.761
219,1.388
220,1.278
221,0.958
222,1.45
223,0.971
224,1.199
225,1.646
226,1.098
227,1.715
228,1.429
229,1.348
230,1.54
231,1.128
232,1.387
233,1.432
234,1.678
235,1.152
236,1.51
237,1.134
238,1.465
239,1.042
240,0.98
241,1.557
242,1.27
243,1.499
244,1.25
245,1.745
246,1.223
247,1.807
248,1.035
249,1.592
250,1.331
251,1.453
252,1.02
253,1.758
254,1.574
255,1.657
256,1.041
257,1.572
258,1.291
259,1.063
260,0.973
261,0.974
262,1.322
263,1.31
264,1.037
265,1.367
266,0.99
267,1.465
268,0.803
269,1.378
270,0.773
271,1.389
272,1.315
273,1.183
274,1.176
275,1.246
276,0.832
277,1.24
278,1.064
279,1.34
280,0.898
281,1.3
282,0.806
283,1.081
284,0.838
285,1.19
286,0.927
287,1.112
288,0.843
289,0.852
290,0.835
291,1.212
292,0.958
293,1.34
294,1.038
295,1.623
296,0.877
297,1.863
298,0.746
299,1.921
300,0.98
301,1.133
302,0.769
303,1.08
304,0.983
305,1.737
306,1.076
307,1.55
308,0.788
309,1.688
310,0.789
311,1.327
312,1.06
313,1.299
314,1.166
315,1.044
316,1.46
317,1.173
318,1.235
319,1.165
320,0.874
321,1.456
322,1.02
323,1.283
324,1.433
325,1.888
326,1.3
327,1.228
328,1.261
329,1.402
330,1.272
331,1.196
332,1.256
333,1.44
334,1.129
335,1.115
336,1.434
337,1.525
338,1.611
339,1.274
340,1.167
341,1.611
342,1.219
343,1.665
344,1.104
345,1.369
346,1.357
347,1.093
348,1.657
349,1.791
350,1.211
351,1.722
352,1.668
353,1.837
354,1.374
355,1.55
356,1.592
357,1.201
358,1.169
359,1.161
360,1.019
361,1.313
362,1.163
363,1.181
364,0.96
365,1.424
366,1.009
367,1.554
368,0.774
369,1.757
370,1.008
371,1.641
372,1.094
373,1.612
374,1.167
375,1.691
376,1.077
377,1.074
378,1.114
379,0.964
380,0.974
381,0.929
382,0.965
383,1.759
384,1.481
385,1.573
386,1.207
387,1.697
388,1.41
389,1.669
390,1.282
391,1.475
392,1.554
393,1.503
394,1.196
395,1.523
396,1.395
397,1.191
398,1.348
399,1.574
400,1.384
401,1.586
402,1.317
403,1.482
404,1.25
405,1.697
406,1.275
407,1.482
408,1.583
409,2.188
410,1.53
411,1.422
412,1.066
413,2.168
414,1.079
415,1.514
416,1.416
417,2.159
418,1.163
419,2.559
420,1.696
421,1.375
422,1.643
423,1.211
424,1.158
425,1.527
426,1.45
427,1.983
428,1.472
429,1.484
430,1.266
431,1.577
432,0.792
433,1.18
434,1.063
435,1.089
436,1.122
437,1.1
438,0.93
439,1.162
440,1.271
441,1.099
442,1.03
443,1.669
444,0.878
445,1.235
446,0.98
447,1.531
448,0.793
449,1.282
450,0.847
451,1.027
452,0.838
453,1.121
454,1.131
455,1.057
456,1.308
457,1.223
458,1.449
459,1.19
460,1.253
461,1.486
462,1.324
463,1.582
464,1.178
465,1.437
466,1.294
467,1.609
468,1.316
469,1.551
470,1.29
471,1.562
472,1.509
473,1.701
474,1.348
475,1.72
476,1.577
477,1.683
478,1.301
479,1.627
480,1.04
481,1.888
482,1.04
483,2.02
484,0.963
485,1.632
486,1.157
487,1.652
488,1.236
489,1.923
490,1
491,1.706
492,1.037
493,1.612
494,1.071
495,2.093
496,0.943
497,1.509
498,1.015
499,1.698
500,1.021
501,1.645
502,1.084
503,1.63
504,1.129
505,1.827
506,1.128
507,1.521
508,1.261
509,1.931
510,1.154
511,1.867
512,1.212
513,1.527
514,1.184
515,1.665
516,1.066
517,1.611
518,1.212
519,1.446
520,1.209
521,1.552
522,1.281
523,1.889
524,1.25
525,1.452
526,1.251
527,1.68
528,1.249
529,1.236
530,1.166
531,1.438
532,1.111
533,1.128
534,0.849
535,1.269
536,1.023
537,1.25
538,1.091
539,1.267
540,1.147
541,1.21
542,1.054
543,1.262
544,1.051
545,1.201
546,1.01
547,1.27
548,0.784
549,1.147
550,1.044
551,1.224
552,1.299
553,1.19
554,1.316
555,1.744
556,1.535
557,1.663
558,1.57
559,1.724
560,1.283
561,1.749
562,1.218
563,1.533
564,0.923
565,1.481
566,1.082
567,1.263
568,1.041
569,1.515
570,1.059
571,1.169
572,0.962
573,1.209
574,1.052
575,1.583
576,1.173
577,1.405
578,0.928
579,1.659
580,1.044
581,1.409
582,1.013
583,1.428
584,0.665
585,1.601
586,1.213
587,1.47
588,0.993
589,1.614
590,0.954
591,1.375
592,0.924
593,1.393
594,1.102
595,1.39
596,1.137
597,1.286
598,1.018
599,1.541
600,1.245
601,1.446
602,1.21
603,1.542
604,1.063
605,1.685
606,1.265
607,1.73
608,0.871
609,1.683
610,0.974
611,1.683
612,1.334
613,1.447
614,1.313
615,1.885
616,1.164
617,1.659
618,0.976
619,1.885
620,0.899
621,1.795
622,0.991
623,1.906
624,0.834
625,1.642
626,0.884
627,1.493
628,0.82
629,1.378
630,1.012
631,1.717
632,0.992
633,1.501
634,0.901
635,1.73
636,0.959
637,1.587
638,0.953
639,1.537
640,0.938
641,1.563
642,0.805
643,1.66
644,0.863
645,1.562
646,0.82
647,1.687
648,1.242
649,1.64
650,1.16
651,1.458
652,1.196
653,1.548
654,1.205
655,1.432
656,1.227
657,1.36
658,1.123
659,1.436
660,1.007
661,1.466
662,1.22
663,1.478
664,1.246
665,1.624
666,1.035
667,1.561
668,1.035
669,1.539
670,1.029
671,1.428
672,1.472
673,1.244
674,1.426
675,1.375
676,1.219
677,1.664
678,1.334
679,1.272
680,1.475
681,1.847
682,1.043
683,1.565
684,1.416
685,1.581
686,1.433
687,1.705
688,1.386
689,1.284
690,1.485
691,1.751
692,1.478
693,1.472
694,1.479
695,1.552
696,1.665
697,1.667
698,1.645
699,1.715
700,1.231
701,1.725
702,1.144
703,1.31
704,1.162
705,1.423
706,1.243
707,1.769
708,1.436
709,1.017
710,1.248
711,1.543
712,1.204
713,1.455
714,1.194
715,1.435
716,1.215
717,1.403
718,1.194
719,1.448
720,1.432
721,1.512
722,1.489
723,1.702
724,1.325
725,1.748
726,1.527
727,1.491
728,1.212
729,1.729
730,1.168
731,1.737
732,1.323
733,1.495
734,1.424
735,1.482
736,1.278
737,1.669
738,1.297
739,1.716
740,1.282
741,1.707
742,1.242
743,1.645
744,1.082
745,1.584
746,1.117
747,1.781
748,1.035
749,1.697
750,1.092
751,1.535
752,1.027
753,1.392
754,0.947
755,1.581
756,1.163
757,1.542
758,1.156
759,1.487
760,1.143
761,1.327
762,1.133
763,1.421
764,1.147
765,1.244
766,1.15
767,1.39
768,1.327
769,1.063
770,1.601
771,1.459
772,1.488
773,1.685
774,1.368
775,1.454
776,1.371
777,1.217
778,1.41
779,1.672
780,1.538
781,1.529
782,1.455
783,1.706
784,1.432
785,1.309
786,1.432
787,1.411
788,1.452
789,1.472
790,1.448
791,1.169
792,0.759
793,1.625
794,0.694
795,1.71
796,0.844
797,1.838
798,0.625
799,1.843
800,0.995
801,1.694
802,0.684
803,1.739
804,0.645
805,1.79
806,0.755
807,1.53
808,0.927
809,1.788
810,0.717
811,1.75
812,0.729
813,1.416
814,1.135
815,1.692
816,1.346
817,1.134
818,1.327
819,1.414
820,1.172
821,1.46
822,1.246
823,1.43
824,1.311
825,1.492
826,1.44
827,1.254
828,1.366
829,1.263
830,1.064
831,1.345
832,1.402
833,1.315
834,1.181
835,1.252
836,1.326
837,1.119
838,1.197
839,1.249
840,1.073
841,1.494
842,1.109
843,1.719
844,1.221
845,1.709
846,1.068
847,1.493
848,1.14
849,1.503
850,1.217
851,1.585
852,1.2
853,1.693
854,1.218
855,1.537
856,1.244
857,1.736
858,1.27
859,1.484
860,1.232
861,1.846
862,1.184
863,1.821
864,1.095
865,1.395
866,0.791
867,1.541
868,1.353
869,1.419
870,1.202
871,1.502
872,1.301
873,1.098
874,1.099
875,1.557
876,1.278
877,1.311
878,0.764
879,1.345
880,1.386
881,1.475
882,1.078
883,0.898
884,0.777
885,1.76
886,1.136
887,1.243
888,1.121
889,1.544
890,1.188
891,1.776
892,1.289
893,2.071
894,1.178
895,2.376
896,1.226
897,1.984
898,0.992
899,2.125
900,1.345
901,2.427
902,1.155
903,2.457
904,1.138
905,2.282
906,1.124
907,1.832
908,1.064
909,2.241
910,1.379
911,2.159
912,1.251
913,1.416
914,1.439
915,1.604
916,1.496
917,1.815
918,1.236
919,1.866
920,1.426
921,1.539
922,1.309
923,1.626
924,1.284
925,1.684
926,1.237
927,1.615
928,1.435
929,1.83
930,1.23
931,1.508
932,1.527
933,1.63
934,1.458
935,1.529
936,0.977
937,1.875
938,1.098
939,1.566
940,1.154
941,1.648
942,1.171
943,1.641
944,1.263
945,1.597
946,0.972
947,1.446
948,1.029
949,1.337
950,1.014
951,1.586
952,1.006
953,1.484
954,1.084
955,1.267
956,0.915
957,1.862
958,0.994
959,1.12
960,1.478
961,1.885
962,1.39
963,1.625
964,1.366
965,1.753
966,1.533
967,1.869
968,1.235
969,1.603
970,1.36
971,1.835
972,1.315
973,1.741
974,1.318
975,1.436
976,1.199
977,1.564
978,1.269
979,1.834
980,1.387
981,1.592
982,1.498
983,1.637
984,1.025
985,1.871
986,1.362
987,1.632
988,0.997
989,1.722
990,1.097
991,1.516
992,0.892
993,1.293
994,1.078
995,1.383
996,1.053
997,1.69
998,1.065
999,1.633
1000,1.232
1001,1.174
1002,1.015
1003,1.414
1004,1.174
1005,1.599
1006,1.145
1007,1.545
1008,1.161
1009,2.247
1010,1.042
1011,1.538
1012,1.054
1013,1.711
1014,1.026
1015,2.318
1016,0.923
1017,1.596
1018,1.19
1019,2.186
1020,0.992
1021,2.317
1022,0.838
1023,2.706
1024,0.824
1025,1.775
1026,1.109
1027,1.438
1028,1.165
1029,1.357
1030,1.135
1031,1.407
1032,1.373
1033,1.177
1034,1.121
1035,1.853
1036,1.242
1037,1.57
1038,1.312
1039,1.698
1040,0.98
1041,1.369
1042,1.334
1043,1.732
1044,1.423
1045,1.705
1046,1.225
1047,1.138
1048,1.41
1049,1.528
1050,1.283
1051,1.729
1052,1.139
1053,1.86
1054,1.298
1055,1.276
1056,1.145
1057,1.489
1058,1.068
1059,1.802
1060,1.149
1061,1.889
1062,1.145
1063,1.929
1064,0.963
1065,1.782
1066,1.102
1067,1.766
1068,1.091
1069,1.998
1070,1.146
1071,1.684
1072,1.093
1073,1.856
1074,1.02
1075,1.691
1076,1.12
1077,1.771
1078,1.093
1079,1.77
1080,0.895
1081,1.415
1082,0.858
1083,1.338
1084,0.828
1085,1.525
1086,0.821
1087,1.293
1088,0.715
1089,1.376
1090,0.775
1091,1.464
1092,0.79
1093,1.313
1094,0.837
1095,1.412
1096,0.792
1097,1.29
1098,0.904
1099,1.384
1100,0.901
1101,1.351
1102,0.763
1103,1.37
1104,1.099
1105,1.598
1106,1.036
1107,1.572
1108,1.044
1109,1.58
1110,1.022
1111,1.916
1112,0.796
1113,1.708
1114,0.989
1115,1.738
1116,0.95
1117,2.041
1118,0.964
1119,1.872
1120,0.985
1121,1.871
1122,0.985
1123,1.908
1124,0.969
1125,1.86
1126,0.967
1127,1.919
1128,1.27
1129,1.633
1130,1.183
1131,1.384
1132,1.148
1133,1.587
1134,1.24
1135,2.034
1136,1.193
1137,1.604
1138,1.241
1139,1.638
1140,1.252
1141,1.72
1142,1.14
1143,1.674
1144,1.162
1145,1.471
1146,1.251
1147,1.579
1148,1.13
1149,1.542
1150,1.119
1151,1.89
1152,1.12
1153,1.292
1154,1.273
1155,1.711
1156,0.847
1157,1.673
1158,1.03
1159,1.67
1160,0.908
1161,1.475
1162,1.138
1163,1.376
1164,1.086
1165,1.335
1166,1.144
1167,1.61
1168,1.052
1169,1.814
1170,0.937
1171,1.728
1172,1.076
1173,1.94
1174,1.098
1175,1.952
1176,1.494
1177,1.449
1178,1.379
1179,1.381
1180,1.464
1181,1.714
1182,1.522
1183,1.667
1184,1.503
1185,1.559
1186,1.414
1187,1.275
1188,1.84
1189,1.46
1190,1.935
1191,1.523
1192,1.35
1193,1.541
1194,1.437
1195,1.464
1196,2.128
1197,1.38
1198,1.387
1199,1.607
1200,1.053
1201,1.449
1202,1.102
1203,1.703
1204,0.848
1205,1.531
1206,1.176
1207,1.835
1208,1.165
1209,1.49
1210,0.844
1211,1.456
1212,1.126
1213,1.607
1214,0.981
1215,1.463
1216,0.938
1217,1.598
1218,0.876
1219,1.436
1220,0.876
1221,1.743
1222,1.105
1223,1.614
1224,0.96
1225,1.189
1226,0.899
1227,1.542
1228,0.829
1229,1.416
1230,1.009
1231,1.198
1232,1.1
1233,1.845
1234,0.959
1235,1.751
1236,0.944
1237,1.88
1238,0.992
1239,2.161
1240,0.851
1241,1.766
1242,0.966
1243,1.614
1244,0.979
1245,1.955
1246,0.78
1247,1.646
